iter	Passed	Remaining
482	602	644
483	603	643
484	604	642
485	605	640
486	606	638
487	607	637
488	608	635
489	608	633
490	609	631
491	610	630
492	611	628
493	613	628
494	615	628
495	617	627
496	618	625
497	619	624
498	620	622
499	621	621
500	622	619
501	622	617
502	623	616
503	624	614
504	625	612
505	625	611
506	627	609
507	628	608
508	629	607
509	630	605
510	631	604
511	632	603
512	633	601
513	634	599
514	635	598
515	636	596
516	636	595
517	637	593
518	638	591
519	638	589
520	639	587
521	640	586
522	642	585
523	643	584
524	644	582
525	644	581
526	645	579
527	646	577
528	647	576
529	648	574
530	648	573
531	649	571
532	650	570
533	651	568
534	652	566
535	653	565
536	654	564
537	655	563
538	656	561
539	658	560
540	659	559
541	659	557
542	660	556
543	661	554
544	662	553
545	663	551
546	664	550
547	665	548
548	666	547
549	667	545
550	668	545
551	670	543
552	671	542
553	671	540
554	672	539
555	673	538
556	674	536
557	675	535
558	676	533
559	677	532
560	677	530
561	678	528
562	679	527
563	680	525
564	682	525
565	683	524
566	684	522
567	685	521
568	685	519
569	686	518
570	687	516
571	688	515
572	689	513
573	690	512
574	691	510
575	691	509
576	692	507
577	693	506
578	694	505
579	696	504
580	697	503
581	698	501
582	699	500
583	700	498
584	701	497
585	701	495
586	702	494
587	703	492
588	704	491
589	704	489
590	705	488
591	706	486
592	708	486
593	710	485
594	711	484
595	712	482
596	713	481
597	713	479
598	714	478
599	715	476
600	716	475
601	717	474
602	718	472
603	718	471
604	719	469
605	720	468
606	724	469
607	725	467
608	726	466
609	727	465
610	728	463
611	729	462
612	730	460
613	730	459
614	731	458
615	732	456
616	733	455
617	734	453
618	735	452
619	738	452
620	739	451
621	742	451
622	743	449
623	744	448
624	745	447
625	746	446
626	747	444
627	748	443
628	749	441
629	750	440
630	753	440
631	754	439
632	755	437
633	755	436
634	756	434
635	757	433
636	758	432
637	758	430
638	759	429
639	760	427
640	761	426
641	761	424
642	762	423
643	764	422
644	766	421
645	767	420
646	768	419
647	769	417
648	769	416
649	770	415
650	771	413
651	772	412
652	773	411
653	774	409
654	775	408
655	776	407
656	778	406
657	779	405
658	781	404
659	782	402
660	783	401
661	784	400
662	784	398
663	785	397
664	786	396
665	787	394
666	788	393
667	789	392
668	790	391
669	792	390
670	793	389
671	794	387
672	795	386
673	796	385
674	797	383
675	797	382
676	798	381
677	799	379
678	800	378
679	801	377
680	802	375
681	803	374
682	804	373
683	806	372
684	807	371
685	808	370
686	809	368
687	809	367
688	810	365
689	811	364
690	812	363
691	813	362
692	814	360
693	815	359
694	816	358
695	818	357
696	819	356
697	820	355
698	821	353
699	822	352
700	822	351
701	823	349
702	824	348
703	825	346
704	825	345
705	826	344
706	827	342
707	828	341
708	829	340
709	830	339
710	831	338
711	833	337
712	834	336
713	835	334
714	838	334
715	838	332
716	839	331
717	840	330
718	841	328
719	842	327
720	842	326
721	843	324
722	844	323
723	846	322
724	848	321
725	849	320
726	850	319
727	851	317
728	851	316
729	852	315
730	853	314
731	854	312
732	855	311
733	855	310
734	856	308
735	857	307
736	859	306
737	860	305
738	862	304
739	863	303
740	863	301
741	864	300
742	865	299
743	866	298
744	867	296
745	868	295
746	868	294
747	869	293
748	870	291
749	872	290
750	873	289
751	874	288
752	875	287
753	876	285
754	877	284
755	877	283
756	878	282
757	879	280
758	880	279
759	881	278
760	882	277
761	882	275
762	883	274
763	886	273
764	888	272
765	889	271
766	890	270
767	891	269
768	892	268
769	893	266
770	893	265
771	894	264
772	895	262
773	896	261
774	897	260
775	898	259
776	899	258
777	901	257
778	902	256
779	903	254
780	904	253
781	905	252
782	906	251
783	907	249
784	908	248
785	909	247
786	909	246
787	910	245
788	911	243
789	913	242
790	914	241
791	916	240
792	917	239
793	918	238
794	918	236
795	919	235
796	920	234
797	921	233
798	922	231
799	922	230
800	923	229
801	924	228
802	925	227
803	926	225
804	928	224
805	929	223
806	929	222
807	930	221
808	931	219
809	932	218
810	933	217
811	934	216
812	935	215
813	936	214
814	937	212
815	938	211
816	939	210
817	940	209
818	942	208
819	943	207
820	943	205
821	944	204
822	945	203
823	946	202
824	947	200
825	947	199
826	948	198
827	949	197
828	950	196
829	952	195
830	952	193
831	954	192
832	956	191
833	957	190
834	958	189
835	958	188
836	959	186
837	960	185
838	961	184
839	962	183
840	962	182
841	964	180
842	965	179
843	965	178
844	966	177
845	967	176
846	969	175
847	970	173
848	971	172
849	972	171
850	973	170
851	973	169
852	974	167
853	975	166
854	976	165
855	976	164
856	977	163
857	978	161
858	979	160
859	980	159
860	980	158
861	981	157
862	983	156
863	984	154
864	985	153
865	985	152
866	986	151
867	987	150
868	988	148
869	989	147
870	990	146
871	990	145
872	991	144
873	992	143
874	993	141
875	994	140
876	995	139
877	996	138
878	997	137
879	998	136
880	999	134
881	999	133
882	1000	132
883	1001	131
884	1002	130
885	1003	129
886	1004	127
887	1005	126
888	1005	125
889	1006	124
890	1007	123
891	1008	122
892	1009	120
893	1010	119
894	1011	118
895	1012	117
896	1013	116
897	1013	115
898	1014	114
899	1015	112
900	1016	111
901	1017	110
902	1017	109
903	1018	108
904	1019	107
905	1020	105
906	1021	104
907	1022	103
908	1023	102
909	1024	101
910	1025	100
911	1026	99
912	1027	97
913	1028	96
914	1029	95
915	1029	94
916	1030	93
917	1031	92
918	1031	90
919	1032	89
920	1033	88
921	1034	87
